Array;Source Name;Cell_line;ClustGroup
5500994172948120113978_A07.cel;J132_EPA07P9_SK-MEL-2_skin_905955;SK-MEL-2;3
5500994173212120213068_A08.cel;J132_EPA08P10_OACp4C_Esophagus_1503362;OACp4C;2
5500994157493061613625_A08.cel;J132_EPA08P1_H2803_Lung_1240135;H2803;4
5500994158987071513209_A08.cel;J132_EPA08P2_CAL-85-1_Breast_910852;CAL-85-1;2
5500994172383112813929_A08.cel;J132_EPA08P3_HL-60_Blood_905938;HL-60;7
5500994158987071513202_A08.cel;J132_EPA08P4_LOU-NH91_Lung:NSCLC_1298226;LOU-NH91;4
5500994158987071513207_A08.cel;J132_EPA08P5_TE-8_Esophagus_753623;TE-8;2
5500994172383112813928_A08.cel;J132_EPA08P6_HD-MY-Z_Blood_907050;HD-MY-Z;2
5500994158987071513201_A08.cel;J132_EPA08P7_NCI-H1355_Lung_724866;NCI-H1355;2
5500994172383112813930_A08.cel;J132_EPA08P8_NB7_PNS_949174;NB7;5
5500994172948120113978_A08.cel;J132_EPA08P9_IOSE-75-16SV40_Ovary_1479994;IOSE-75-16SV40;4
5500994173212120213068_A09.cel;J132_EPA09P10_MKN45_Stomach_925340;MKN45;2
5500994157493061613625_A09.cel;J132_EPA09P1_H2722_Lung_1290812;H2722;4
5500994158987071513209_A09.cel;J132_EPA09P2_CPC-N_Lung_753547;CPC-N;6
5500994172383112813929_A09.cel;J132_EPA09P3_HCC1937_Breast_749714;HCC1937;2
5500994158987071513202_A09.cel;J132_EPA09P4_GAMG_Brain_906868;GAMG;2
5500994158987071513207_A09.cel;J132_EPA09P5_SiHa_Cervix_930297;SiHa;2
5500994172383112813928_A09.cel;J132_EPA09P6_SW684_Misc_909754;SW684;4
5500994158987071513201_A09.cel;J132_EPA09P7_NCI-H1048_Lung_687995;NCI-H1048;6
5500994172383112813930_A09.cel;J132_EPA09P8_NMC-G1_CNS_908449;NMC-G1;4
5500994172948120113978_A09.cel;J132_EPA09P9_Hs-578-T_breast_905957;Hs-578-T;4
5500994158987071513209_A10.cel;J132_EPA10P2_CRO-AP2_Blood_906807;CRO-AP2;8
5500994172383112813929_A10.cel;J132_EPA10P3_HEL_Blood_907053;HEL;7
5500994158987071513202_A10.cel;J132_EPA10P4_GMS-10_Brain_906873;GMS-10;4
5500994158987071513207_A10.cel;J132_EPA10P5_SCC-9_Head & Neck_909709;SCC-9;1
5500994172383112813928_A10.cel;J132_EPA10P6_HOP-92_Lung:NSCLC_905973;HOP-92;4
