Array;ClustGroup;Cell_line;Tissue;Tissue sub-type;Cell_line_Tissue;TCGA
5500994158987071513202_F02.cel;7;KOPN-8;blood;B_cell_leukemia;KOPN-8_Blood_1330933;UNCLASSIFIED
5500994158987071513202_F02.cel;7;KOPN-8;blood;B_cell_leukemia;KOPN-8_Blood_1330933;UNCLASSIFIED
5500994158987071513202_D02.cel;7;KU812;blood;chronic_myeloid_leukaemia;KU812_Blood_907311;LCML
5500994158987071513202_D02.cel;7;KU812;blood;chronic_myeloid_leukaemia;KU812_Blood_907311;LCML
5500994158987071513202_B02.cel;7;KY821;blood;leukemia;KY821_Blood_907300;LAML
5500994158987071513202_B02.cel;7;KY821;blood;leukemia;KY821_Blood_907300;LAML
5500994158987071513202_F07.cel;7;LAMA-84;blood;chronic_myeloid_leukaemia;LAMA-84_Blood_907783;LCML
5500994158987071513202_F07.cel;7;LAMA-84;blood;chronic_myeloid_leukaemia;LAMA-84_Blood_907783;LCML
5500994158987071513202_H04.cel;7;LC4-1;blood;lymphoblastic_leukemia;LC4-1_Blood_907787;ALL
5500994158987071513202_H04.cel;7;LC4-1;blood;lymphoblastic_leukemia;LC4-1_Blood_907787;ALL
5500994158987071513202_H07.cel;7;LOUCY;blood;lymphoblastic_T_cell_leukaemia;LOUCY_Blood_907789;ALL
5500994158987071513202_H07.cel;7;LOUCY;blood;lymphoblastic_T_cell_leukaemia;LOUCY_Blood_907789;ALL
5500994173212120213068_G04.cel;7;ME-1;blood;acute_myeloid_leukaemia;ME-1_Blood_1330942;LAML
5500994173212120213068_G04.cel;7;ME-1;blood;acute_myeloid_leukaemia;ME-1_Blood_1330942;LAML
5500994158987071513202_C12.cel;7;MEG-01;blood;chronic_myeloid_leukaemia;MEG-01_Blood_908126;LCML
5500994158987071513202_C12.cel;7;MEG-01;blood;chronic_myeloid_leukaemia;MEG-01_Blood_908126;LCML
5500994172948120113978_G02.cel;7;MHH-CALL-2;blood;B_cell_leukemia;MHH-CALL-2_haematopoietic_and_lymphoid_tissue_908132;UNCLASSIFIED
