Cell_line;Tissue sub-type;Count;
HSC-39;STAD;digestive_system;stomach
HSC-4;HNSC;aero_digestive_tract;head_and_neck
HSC-4;HNSC;aero_digestive_tract;head_and_neck
HT;DLBC;blood;B_cell_lymphoma
HT-1080;UNCLASSIFIED;soft_tissue;fibrosarcoma
HT-1080;UNCLASSIFIED;soft_tissue;fibrosarcoma
HT-115;COREAD;digestive_system;large_intestine
HT-115;COREAD;digestive_system;large_intestine
HT-1197;BLCA;urogenital_system;bladder
HT-1197;BLCA;urogenital_system;bladder
HT-1376;BLCA;urogenital_system;bladder
HT-1376;BLCA;urogenital_system;bladder
HT-144;SKCM;skin;melanoma
HT-144;SKCM;skin;melanoma
HT-29;COREAD;digestive_system;large_intestine
HT-29;COREAD;digestive_system;large_intestine
HT-3;CESC;urogenital_system;cervix
HT-3;CESC;urogenital_system;cervix
HT55;COREAD;digestive_system;large_intestine
HT55;COREAD;digestive_system;large_intestine
HTC-C3;THCA;thyroid;thyroid
HTC-C3;THCA;thyroid;thyroid
HeLa;CESC;urogenital_system;cervix
HeLa;CESC;urogenital_system;cervix
Hep3B2-1-7;LIHC;digestive_system;liver
Hep3B2-1-7;LIHC;digestive_system;liver
Hey;OV;urogenital_system;ovary
Hey;OV;urogenital_system;ovary
Hs-445;UNCLASSIFIED;blood;Hodgkin_lymphoma
Hs-445;UNCLASSIFIED;blood;Hodgkin_lymphoma
Hs-578-T;BRCA;breast;breast
Hs-578-T;BRCA;breast;breast
Hs-633T;UNCLASSIFIED;soft_tissue;fibrosarcoma
Hs-633T;UNCLASSIFIED;soft_tissue;fibrosarcoma
Hs-683;LGG;nervous_system;glioma
Hs-746T;STAD;digestive_system;stomach
Hs-746T;STAD;digestive_system;stomach
Hs-766T;PAAD;pancreas;pancreas
Hs-766T;PAAD;pancreas;pancreas
Hs-939-T;SKCM;skin;melanoma
Hs-940-T;SKCM;skin;melanoma
HuCCT1;UNCLASSIFIED;digestive_system;biliary_tract
HuCCT1;UNCLASSIFIED;digestive_system;biliary_tract
HuH-7;LIHC;digestive_system;liver
HuH-7;LIHC;digestive_system;liver
HuO-3N1;UNCLASSIFIED;bone;osteosarcoma
HuO-3N1;UNCLASSIFIED;bone;osteosarcoma
HuO9;UNCLASSIFIED;bone;osteosarcoma
HuO9;UNCLASSIFIED;bone;osteosarcoma
HuP-T3;PAAD;pancreas;pancreas
HuP-T3;PAAD;pancreas;pancreas
HuP-T4;PAAD;pancreas;pancreas
HuP-T4;PAAD;pancreas;pancreas
HuTu-80;UNCLASSIFIED;digestive_system;digestive_system_other
HuTu-80;UNCLASSIFIED;digestive_system;digestive_system_other
IA-LM;UNCLASSIFIED;lung;lung_NSCLC_large_cell
IA-LM;UNCLASSIFIED;lung;lung_NSCLC_large_cell
IGR-1;SKCM;skin;melanoma
IGR-1;SKCM;skin;melanoma
IGR-37;SKCM;skin;melanoma
IGR-37;SKCM;skin;melanoma
IGROV-1;OV;urogenital_system;ovary
IGROV-1;OV;urogenital_system;ovary
IHH-4;THCA;thyroid;thyroid
IHH-4;THCA;thyroid;thyroid
IM-9;MM;blood;myeloma
IM-9;MM;blood;myeloma
IM-95;STAD;digestive_system;stomach
IM-95;STAD;digestive_system;stomach
IMR-5;NB;nervous_system;neuroblastoma
IMR-5;NB;nervous_system;neuroblastoma
IPC-298;SKCM;skin;melanoma
IST-MEL1;SKCM;skin;melanoma
IST-MEL1;SKCM;skin;melanoma
IST-MES1;MESO;lung;mesothelioma
IST-MES1;MESO;lung;mesothelioma
IST-SL1;SCLC;lung;lung_small_cell_carcinoma
IST-SL2;SCLC;lung;lung_small_cell_carcinoma
IST-SL2;SCLC;lung;lung_small_cell_carcinoma
J82;BLCA;urogenital_system;bladder
J82;BLCA;urogenital_system;bladder
JAR;UNCLASSIFIED;urogenital_system;urogenital_system_other
JEG-3;UNCLASSIFIED;urogenital_system;urogenital_system_other
JEKO-1;DLBC;blood;B_cell_lymphoma
JHH-1;LIHC;digestive_system;liver
JHH-1;LIHC;digestive_system;liver
JHH-2;LIHC;digestive_system;liver
JHH-2;LIHC;digestive_system;liver
JHH-4;LIHC;digestive_system;liver
JHH-4;LIHC;digestive_system;liver
JHH-6;LIHC;digestive_system;liver
JHH-6;LIHC;digestive_system;liver
JHH-7;LIHC;digestive_system;liver
JHH-7;LIHC;digestive_system;liver
JHOS-2;OV;urogenital_system;ovary
JHOS-3;OV;urogenital_system;ovary
JHOS-4;OV;urogenital_system;ovary
JHU-011;HNSC;aero_digestive_tract;head_and_neck
JHU-022;HNSC;aero_digestive_tract;head_and_neck
JHU-022;HNSC;aero_digestive_tract;head_and_neck
JHU-029;HNSC;aero_digestive_tract;head_and_neck
JIMT-1;BRCA;breast;breast
JIMT-1;BRCA;breast;breast
JJN-3;MM;blood;haematopoietic_neoplasm_other
JJN-3;MM;blood;haematopoietic_neoplasm_other
JM1;DLBC;blood;B_cell_lymphoma
JSC-1;DLBC;blood;B_cell_lymphoma
JSC-1;DLBC;blood;B_cell_lymphoma
JURL-MK1;LCML;blood;chronic_myeloid_leukaemia
JURL-MK1;LCML;blood;chronic_myeloid_leukaemia
JVM-2;CLL;blood;lymphoid_neoplasm_other
JVM-2;CLL;blood;lymphoid_neoplasm_other
JVM-3;CLL;blood;lymphoid_neoplasm_other
JVM-3;CLL;blood;lymphoid_neoplasm_other
JiyoyeP-2003;UNCLASSIFIED;blood;Burkitt_lymphoma
JiyoyeP-2003;UNCLASSIFIED;blood;Burkitt_lymphoma
Jurkat;ALL;blood;T_cell_leukemia
Jurkat;ALL;blood;T_cell_leukemia
K-562;LCML;blood;chronic_myeloid_leukaemia
K-562;LCML;blood;chronic_myeloid_leukaemia
K2;SKCM;skin;melanoma
K5;THCA;thyroid;thyroid
K5;THCA;thyroid;thyroid
KALS-1;LGG;nervous_system;glioma
KALS-1;LGG;nervous_system;glioma
KARPAS-1106P;DLBC;blood;B_cell_lymphoma
KARPAS-1106P;DLBC;blood;B_cell_lymphoma
KARPAS-231;UNCLASSIFIED;blood;B_cell_leukemia
KARPAS-231;UNCLASSIFIED;blood;B_cell_leukemia
KARPAS-299;UNCLASSIFIED;blood;anaplastic_large_cell_lymphoma
KARPAS-299;UNCLASSIFIED;blood;anaplastic_large_cell_lymphoma
KARPAS-422;DLBC;blood;B_cell_lymphoma
KARPAS-422;DLBC;blood;B_cell_lymphoma
KARPAS-45;ALL;blood;lymphoblastic_leukemia
KARPAS-45;ALL;blood;lymphoblastic_leukemia
KARPAS-620;MM;blood;haematopoietic_neoplasm_other
KARPAS-620;MM;blood;haematopoietic_neoplasm_other
KASUMI-1;LAML;blood;acute_myeloid_leukaemia
KASUMI-1;LAML;blood;acute_myeloid_leukaemia
KATOIII;STAD;digestive_system;stomach
KATOIII;STAD;digestive_system;stomach
KCL-22;LCML;blood;chronic_myeloid_leukaemia
KCL-22;LCML;blood;chronic_myeloid_leukaemia
KE-37;ALL;blood;lymphoblastic_leukemia
KE-37;ALL;blood;lymphoblastic_leukemia
KELLY;NB;nervous_system;neuroblastoma
KELLY;NB;nervous_system;neuroblastoma
KG-1;LAML;blood;acute_myeloid_leukaemia
KG-1;LAML;blood;acute_myeloid_leukaemia
KGN;UNCLASSIFIED;urogenital_system;ovary
KGN;UNCLASSIFIED;urogenital_system;ovary
KINGS-1;LGG;nervous_system;glioma
KINGS-1;LGG;nervous_system;glioma
KLE;UCEC;urogenital_system;endometrium
KLE;UCEC;urogenital_system;endometrium
KM-H2;UNCLASSIFIED;blood;Hodgkin_lymphoma
KM-H2;UNCLASSIFIED;blood;Hodgkin_lymphoma
KM12;COREAD;digestive_system;large_intestine
KM12;COREAD;digestive_system;large_intestine
KMH-2;THCA;thyroid;thyroid
KMOE-2;LAML;blood;acute_myeloid_leukaemia
KMOE-2;LAML;blood;acute_myeloid_leukaemia
KMRC-1;KIRC;kidney;kidney
KMRC-1;KIRC;kidney;kidney
KMRC-20;KIRC;kidney;kidney
KMRC-20;KIRC;kidney;kidney
KMS-11;MM;blood;myeloma
KMS-12-BM;MM;blood;myeloma
KMS-12-BM;MM;blood;myeloma
KNS-42;LGG;nervous_system;glioma
KNS-62;LUSC;lung;lung_NSCLC_squamous_cell_carcinoma
KNS-62;LUSC;lung;lung_NSCLC_squamous_cell_carcinoma
KNS-81-FD;LGG;nervous_system;glioma
KON;HNSC;aero_digestive_tract;head_and_neck
KOPN-8;UNCLASSIFIED;blood;B_cell_leukemia
KOPN-8;UNCLASSIFIED;blood;B_cell_leukemia
KOSC-2;HNSC;aero_digestive_tract;head_and_neck
KP-1N;PAAD;pancreas;pancreas
KP-1N;PAAD;pancreas;pancreas
KP-2;PAAD;pancreas;pancreas
KP-2;PAAD;pancreas;pancreas
KP-3;UNCLASSIFIED;pancreas;pancreas
KP-3;UNCLASSIFIED;pancreas;pancreas
KP-4;PAAD;pancreas;pancreas
KP-4;PAAD;pancreas;pancreas
KP-N-RT-BM-1;NB;nervous_system;neuroblastoma
KP-N-YN;NB;nervous_system;neuroblastoma
KP-N-YN;NB;nervous_system;neuroblastoma
KP-N-YS;NB;nervous_system;neuroblastoma
KS-1;GBM;nervous_system;glioma
KS-1;GBM;nervous_system;glioma
KU-19-19;BLCA;urogenital_system;bladder
KU-19-19;BLCA;urogenital_system;bladder
KU812;LCML;blood;chronic_myeloid_leukaemia
KU812;LCML;blood;chronic_myeloid_leukaemia
KURAMOCHI;UNCLASSIFIED;urogenital_system;ovary
KURAMOCHI;UNCLASSIFIED;urogenital_system;ovary
KY821;LAML;blood;leukemia
KY821;LAML;blood;leukemia
KYAE-1;ESCA;aero_digestive_tract;oesophagus
KYAE-1;ESCA;aero_digestive_tract;oesophagus
KYM-1;UNCLASSIFIED;soft_tissue;rhabdomyosarcoma
KYM-1;UNCLASSIFIED;soft_tissue;rhabdomyosarcoma
KYSE-140;ESCA;aero_digestive_tract;oesophagus
KYSE-140;ESCA;aero_digestive_tract;oesophagus
KYSE-150;ESCA;aero_digestive_tract;oesophagus
KYSE-150;ESCA;aero_digestive_tract;oesophagus
KYSE-180;ESCA;aero_digestive_tract;oesophagus
KYSE-180;ESCA;aero_digestive_tract;oesophagus
KYSE-220;ESCA;aero_digestive_tract;oesophagus
KYSE-220;ESCA;aero_digestive_tract;oesophagus
KYSE-270;ESCA;aero_digestive_tract;oesophagus
KYSE-270;ESCA;aero_digestive_tract;oesophagus
KYSE-410;ESCA;aero_digestive_tract;oesophagus
KYSE-410;ESCA;aero_digestive_tract;oesophagus
KYSE-450;ESCA;aero_digestive_tract;oesophagus
KYSE-450;ESCA;aero_digestive_tract;oesophagus
KYSE-50;ESCA;aero_digestive_tract;oesophagus
KYSE-50;ESCA;aero_digestive_tract;oesophagus
KYSE-510;ESCA;aero_digestive_tract;oesophagus
KYSE-510;ESCA;aero_digestive_tract;oesophagus
KYSE-520;ESCA;aero_digestive_tract;oesophagus
KYSE-520;ESCA;aero_digestive_tract;oesophagus
KYSE-70;ESCA;aero_digestive_tract;oesophagus
KYSE-70;ESCA;aero_digestive_tract;oesophagus
L-1236;UNCLASSIFIED;blood;Hodgkin_lymphoma
L-1236;UNCLASSIFIED;blood;Hodgkin_lymphoma
L-363;MM;blood;myeloma
L-363;MM;blood;myeloma
L-428;UNCLASSIFIED;blood;Hodgkin_lymphoma
L-428;UNCLASSIFIED;blood;Hodgkin_lymphoma
L-540;UNCLASSIFIED;blood;Hodgkin_lymphoma
L-540;UNCLASSIFIED;blood;Hodgkin_lymphoma
LAMA-84;LCML;blood;chronic_myeloid_leukaemia
LAMA-84;LCML;blood;chronic_myeloid_leukaemia
LAN-6;NB;nervous_system;neuroblastoma
LB1047-RCC;KIRC;kidney;kidney
LB2241-RCC;KIRC;kidney;kidney
LB2518-MEL;SKCM;skin;melanoma
LB373-MEL-D;SKCM;skin;melanoma
LB647-SCLC;SCLC;lung;lung_small_cell_carcinoma
LB771-HNC;HNSC;aero_digestive_tract;head_and_neck
LB771-HNC;HNSC;aero_digestive_tract;head_and_neck
LB831-BLC;BLCA;urogenital_system;bladder
LB831-BLC;BLCA;urogenital_system;bladder
LB996-RCC;KIRC;kidney;kidney
LB996-RCC;KIRC;kidney;kidney
LC-1-sq;LUSC;lung;lung_NSCLC_squamous_cell_carcinoma
LC-1-sq;LUSC;lung;lung_NSCLC_squamous_cell_carcinoma
LC-2-ad;LUAD;lung;lung_NSCLC_adenocarcinoma
LC4-1;ALL;blood;lymphoblastic_leukemia
LC4-1;ALL;blood;lymphoblastic_leukemia
LCLC-103H;UNCLASSIFIED;lung;lung_NSCLC_large_cell
LCLC-103H;UNCLASSIFIED;lung;lung_NSCLC_large_cell
LCLC-97TM1;UNCLASSIFIED;lung;lung_NSCLC_large_cell
LCLC-97TM1;UNCLASSIFIED;lung;lung_NSCLC_large_cell
LK-2;LUSC;lung;lung_NSCLC_squamous_cell_carcinoma
LK-2;LUSC;lung;lung_NSCLC_squamous_cell_carcinoma
LN-18;GBM;nervous_system;glioma
LN-18;GBM;nervous_system;glioma
LN-229;GBM;nervous_system;glioma
LN-229;GBM;nervous_system;glioma
LN-405;GBM;nervous_system;glioma
LN-405;GBM;nervous_system;glioma
LNCaP-Clone-FGC;PRAD;urogenital_system;prostate
LNCaP-Clone-FGC;PRAD;urogenital_system;prostate
LNZTA3WT4;GBM;nervous_system;glioma
LNZTA3WT4;GBM;nervous_system;glioma
LOU-NH91;LUSC;lung;lung_NSCLC_squamous_cell_carcinoma
LOU-NH91;LUSC;lung;lung_NSCLC_squamous_cell_carcinoma
LOUCY;ALL;blood;lymphoblastic_T_cell_leukaemia
LOUCY;ALL;blood;lymphoblastic_T_cell_leukaemia
LOXIMVI;SKCM;skin;melanoma
LOXIMVI;SKCM;skin;melanoma
LP-1;MM;blood;myeloma
LP-1;MM;blood;myeloma
LS-1034;COREAD;digestive_system;large_intestine
LS-1034;COREAD;digestive_system;large_intestine
LS-123;COREAD;digestive_system;large_intestine
LS-123;COREAD;digestive_system;large_intestine
LS-180;COREAD;digestive_system;large_intestine
LS-180;COREAD;digestive_system;large_intestine
LS-411N;COREAD;digestive_system;large_intestine
LS-411N;COREAD;digestive_system;large_intestine
LS-513;COREAD;digestive_system;large_intestine
LS-513;COREAD;digestive_system;large_intestine
LU-134-A;SCLC;lung;lung_small_cell_carcinoma
LU-135;SCLC;lung;lung_small_cell_carcinoma
LU-135;SCLC;lung;lung_small_cell_carcinoma
LU-139;SCLC;lung;lung_small_cell_carcinoma
LU-139;SCLC;lung;lung_small_cell_carcinoma
LU-165;SCLC;lung;lung_small_cell_carcinoma
LU-165;SCLC;lung;lung_small_cell_carcinoma
LU-65;UNCLASSIFIED;lung;lung_NSCLC_large_cell
LU-65;UNCLASSIFIED;lung;lung_NSCLC_large_cell
LU-99A;UNCLASSIFIED;lung;lung_NSCLC_large_cell
LU-99A;UNCLASSIFIED;lung;lung_NSCLC_large_cell
LXF-289;LUAD;lung;lung_NSCLC_adenocarcinoma
LXF-289;LUAD;lung;lung_NSCLC_adenocarcinoma
LoVo;COREAD;digestive_system;large_intestine
LoVo;COREAD;digestive_system;large_intestine
M059J;GBM;nervous_system;glioma
M059J;GBM;nervous_system;glioma
M14;SKCM;skin;melanoma
M14;SKCM;skin;melanoma
MC-CAR;MM;blood;haematopoietic_neoplasm_other
MC-CAR;MM;blood;haematopoietic_neoplasm_other
MC-IXC;NB;nervous_system;neuroblastoma
MC116;DLBC;blood;B_cell_lymphoma
MCF7;BRCA;breast;breast
MCF7;BRCA;breast;breast
MDA-MB-157;BRCA;breast;breast
MDA-MB-157;BRCA;breast;breast
MDA-MB-175-VII;BRCA;breast;breast
MDA-MB-175-VII;BRCA;breast;breast
MDA-MB-231;BRCA;breast;breast
MDA-MB-231;BRCA;breast;breast
MDA-MB-330;BRCA;breast;breast
MDA-MB-330;BRCA;breast;breast
MDA-MB-361;BRCA;breast;breast
MDA-MB-361;BRCA;breast;breast
MDA-MB-415;BRCA;breast;breast
MDA-MB-415;BRCA;breast;breast
MDA-MB-436;BRCA;breast;breast
MDA-MB-436;BRCA;breast;breast
MDA-MB-453;BRCA;breast;breast
MDA-MB-453;BRCA;breast;breast
MDA-MB-468;BRCA;breast;breast
MDA-MB-468;BRCA;breast;breast
MDST8;COREAD;digestive_system;large_intestine
MDST8;COREAD;digestive_system;large_intestine
ME-1;LAML;blood;acute_myeloid_leukaemia
ME-1;LAML;blood;acute_myeloid_leukaemia
ME-180;CESC;urogenital_system;cervix
ME-180;CESC;urogenital_system;cervix
MEG-01;LCML;blood;chronic_myeloid_leukaemia
MEG-01;LCML;blood;chronic_myeloid_leukaemia
MEL-HO;SKCM;skin;melanoma
MEL-JUSO;SKCM;skin;melanoma
MEL-JUSO;SKCM;skin;melanoma
MES-SA;UNCLASSIFIED;urogenital_system;uterus
MES-SA;UNCLASSIFIED;urogenital_system;uterus
MFE-280;UCEC;urogenital_system;endometrium
MFE-280;UCEC;urogenital_system;endometrium
MFE-296;UCEC;urogenital_system;endometrium
MFE-296;UCEC;urogenital_system;endometrium
MFE-319;UCEC;urogenital_system;endometrium
MFE-319;UCEC;urogenital_system;endometrium
MFH-ino;UNCLASSIFIED;soft_tissue;soft_tissue_other
MFH-ino;UNCLASSIFIED;soft_tissue;soft_tissue_other
MFM-223;BRCA;breast;breast
MFM-223;BRCA;breast;breast
MG-63;UNCLASSIFIED;bone;osteosarcoma
MG-63;UNCLASSIFIED;bone;osteosarcoma
MHH-CALL-2;UNCLASSIFIED;blood;B_cell_leukemia
MHH-CALL-2;UNCLASSIFIED;blood;B_cell_leukemia
MHH-ES-1;UNCLASSIFIED;bone;ewings_sarcoma
MHH-ES-1;UNCLASSIFIED;bone;ewings_sarcoma
MHH-NB-11;NB;nervous_system;neuroblastoma
MHH-PREB-1;UNCLASSIFIED;blood;B_cell_leukemia
MHH-PREB-1;UNCLASSIFIED;blood;B_cell_leukemia
MIA-PaCa-2;PAAD;pancreas;pancreas
MIA-PaCa-2;PAAD;pancreas;pancreas
MKN1;UNCLASSIFIED;digestive_system;stomach
MKN1;UNCLASSIFIED;digestive_system;stomach
MKN28;STAD;digestive_system;stomach
MKN28;STAD;digestive_system;stomach
MKN45;STAD;digestive_system;stomach
MKN45;STAD;digestive_system;stomach
MKN7;STAD;digestive_system;stomach
MKN7;STAD;digestive_system;stomach
ML-1;THCA;thyroid;thyroid
ML-2;LAML;blood;acute_myeloid_leukaemia
ML-2;LAML;blood;acute_myeloid_leukaemia
MLMA;UNCLASSIFIED;blood;hairy_cell_leukaemia
MLMA;UNCLASSIFIED;blood;hairy_cell_leukaemia
MM1S;MM;blood;myeloma
MM1S;MM;blood;myeloma
MMAc-SF;SKCM;skin;melanoma
MN-60;UNCLASSIFIED;blood;B_cell_leukemia
MN-60;UNCLASSIFIED;blood;B_cell_leukemia
MOG-G-CCM;LGG;nervous_system;glioma
MOG-G-CCM;LGG;nervous_system;glioma
MOG-G-UVW;LGG;nervous_system;glioma
MOG-G-UVW;LGG;nervous_system;glioma
MOLM-13;LAML;blood;acute_myeloid_leukaemia
MOLM-13;LAML;blood;acute_myeloid_leukaemia
MOLM-16;LAML;blood;acute_myeloid_leukaemia
MOLP-8;MM;blood;myeloma
MOLP-8;MM;blood;myeloma
MOLT-13;ALL;blood;lymphoblastic_T_cell_leukaemia
MOLT-13;ALL;blood;lymphoblastic_T_cell_leukaemia
MOLT-16;ALL;blood;lymphoblastic_T_cell_leukaemia
MOLT-16;ALL;blood;lymphoblastic_T_cell_leukaemia
MOLT-4;ALL;blood;lymphoblastic_leukemia
MOLT-4;ALL;blood;lymphoblastic_leukemia
MONO-MAC-6;LAML;blood;acute_myeloid_leukaemia
MONO-MAC-6;LAML;blood;acute_myeloid_leukaemia
MPP-89;MESO;lung;mesothelioma
MPP-89;MESO;lung;mesothelioma
MRK-nu-1;BRCA;breast;breast
MRK-nu-1;BRCA;breast;breast
MS-1;SCLC;lung;lung_small_cell_carcinoma
MS-1;SCLC;lung;lung_small_cell_carcinoma
MS751;CESC;urogenital_system;cervix
MS751;CESC;urogenital_system;cervix
MSTO-211H;MESO;lung;mesothelioma
MSTO-211H;MESO;lung;mesothelioma
MV-4-11;UNCLASSIFIED;blood;leukemia
MV-4-11;UNCLASSIFIED;blood;leukemia
MY-M12;ALL;blood;leukemia
MZ1-PC;PAAD;pancreas;pancreas
MZ2-MEL;SKCM;skin;melanoma
MZ7-mel;SKCM;skin;melanoma
Mewo;SKCM;skin;melanoma
Mewo;SKCM;skin;melanoma
Mo-T;UNCLASSIFIED;blood;hairy_cell_leukaemia
Mo-T;UNCLASSIFIED;blood;hairy_cell_leukaemia
NALM-6;UNCLASSIFIED;blood;B_cell_leukemia
NALM-6;UNCLASSIFIED;blood;B_cell_leukemia
NAMALWA;UNCLASSIFIED;blood;Burkitt_lymphoma
NAMALWA;UNCLASSIFIED;blood;Burkitt_lymphoma
NB(TU)1-10;NB;nervous_system;neuroblastoma
NB(TU)1-10;NB;nervous_system;neuroblastoma
NB1;NB;nervous_system;neuroblastoma
NB1;NB;nervous_system;neuroblastoma
NB10;NB;nervous_system;neuroblastoma
NB10;NB;nervous_system;neuroblastoma
NB12;NB;nervous_system;neuroblastoma
NB12;NB;nervous_system;neuroblastoma
NB13;NB;nervous_system;neuroblastoma
NB13;NB;nervous_system;neuroblastoma
NB14;NB;nervous_system;neuroblastoma
NB14;NB;nervous_system;neuroblastoma
NB17;NB;nervous_system;neuroblastoma
NB4;LAML;blood;acute_myeloid_leukaemia
NB5;NB;nervous_system;neuroblastoma
NB6;NB;nervous_system;neuroblastoma
NB69;NB;nervous_system;neuroblastoma
NB69;NB;nervous_system;neuroblastoma
NB7;NB;nervous_system;neuroblastoma
NB7;NB;nervous_system;neuroblastoma
NCC010;KIRC;kidney;kidney
NCC010;KIRC;kidney;kidney
NCC021;KIRC;kidney;kidney
NCCIT;;urogenital_system;testis
NCI-H1048;SCLC;lung;lung_small_cell_carcinoma
NCI-H1048;SCLC;lung;lung_small_cell_carcinoma
NCI-H1092;SCLC;lung;lung_small_cell_carcinoma
NCI-H1092;SCLC;lung;lung_small_cell_carcinoma
NCI-H1105;SCLC;lung;lung_small_cell_carcinoma
NCI-H1155;UNCLASSIFIED;lung;lung_NSCLC_large_cell
NCI-H1155;UNCLASSIFIED;lung;lung_NSCLC_large_cell
NCI-H128;SCLC;lung;lung_small_cell_carcinoma
NCI-H1299;UNCLASSIFIED;lung;lung_NSCLC_large_cell
NCI-H1299;UNCLASSIFIED;lung;lung_NSCLC_large_cell
NCI-H1304;SCLC;lung;lung_small_cell_carcinoma
NCI-H1341;SCLC;lung;lung_small_cell_carcinoma
NCI-H1341;SCLC;lung;lung_small_cell_carcinoma
NCI-H1355;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1355;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1417;SCLC;lung;lung_small_cell_carcinoma
NCI-H1417;SCLC;lung;lung_small_cell_carcinoma
NCI-H1435;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1435;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1436;SCLC;lung;lung_small_cell_carcinoma
NCI-H1437;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H146;SCLC;lung;lung_small_cell_carcinoma
NCI-H1563;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1563;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1568;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1568;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1573;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1573;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1581;UNCLASSIFIED;lung;lung_NSCLC_large_cell
NCI-H1581;UNCLASSIFIED;lung;lung_NSCLC_large_cell
NCI-H1623;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1623;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1648;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1648;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1650;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1650;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1651;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1651;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1666;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1666;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1688;SCLC;lung;lung_small_cell_carcinoma
NCI-H1688;SCLC;lung;lung_small_cell_carcinoma
NCI-H1693;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1693;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1694;SCLC;lung;lung_small_cell_carcinoma
NCI-H1694;SCLC;lung;lung_small_cell_carcinoma
NCI-H1703;UNCLASSIFIED;lung;lung_NSCLC_adenocarcinoma
NCI-H1703;UNCLASSIFIED;lung;lung_NSCLC_adenocarcinoma
NCI-H1734;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1755;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1755;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1770;UNCLASSIFIED;lung;lung_NSCLC_not_specified
NCI-H1781;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1781;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1792;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1792;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1793;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1793;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1836;SCLC;lung;lung_small_cell_carcinoma
NCI-H1838;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1838;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1869;LUSC;lung;lung_NSCLC_squamous_cell_carcinoma
NCI-H1869;LUSC;lung;lung_NSCLC_squamous_cell_carcinoma
NCI-H187;SCLC;lung;lung_small_cell_carcinoma
NCI-H1876;SCLC;lung;lung_small_cell_carcinoma
NCI-H1876;SCLC;lung;lung_small_cell_carcinoma
NCI-H1915;UNCLASSIFIED;lung;lung_NSCLC_large_cell
NCI-H1915;UNCLASSIFIED;lung;lung_NSCLC_large_cell
NCI-H1944;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1944;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H196;SCLC;lung;lung_small_cell_carcinoma
NCI-H196;SCLC;lung;lung_small_cell_carcinoma
NCI-H1963;SCLC;lung;lung_small_cell_carcinoma
NCI-H1963;SCLC;lung;lung_small_cell_carcinoma
NCI-H1975;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1975;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1993;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H1993;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H2009;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H2009;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H2023;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H2023;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H2029;SCLC;lung;lung_small_cell_carcinoma
NCI-H2029;SCLC;lung;lung_small_cell_carcinoma
NCI-H2030;LUAD;lung;lung_NSCLC_adenocarcinoma
NCI-H2052;MESO;lung;mesothelioma
NCI-H2052;MESO;lung;mesothelioma
NCI-H2066;SCLC;lung;lung_small_cell_carcinoma
NCI-H2066;SCLC;lung;lung_small_cell_carcinoma
NCI-H2081;SCLC;lung;lung_small_cell_carcinoma
