Cell_line;Tissue sub-type;Count;
BT-483;BRCA;breast;breast
BT-483;BRCA;breast;breast
BT-549;BRCA;breast;breast
BT-549;BRCA;breast;breast
BV-173;LCML;blood;chronic_myeloid_leukaemia
BV-173;LCML;blood;chronic_myeloid_leukaemia
Becker;GBM;nervous_system;glioma
Becker;GBM;nervous_system;glioma
BxPC-3;PAAD;pancreas;pancreas
BxPC-3;PAAD;pancreas;pancreas
C-33-A;CESC;urogenital_system;cervix
C-33-A;CESC;urogenital_system;cervix
C-4-I;CESC;urogenital_system;cervix
C-4-I;CESC;urogenital_system;cervix
C2BBe1;COREAD;digestive_system;large_intestine
C2BBe1;COREAD;digestive_system;large_intestine
C32;SKCM;skin;melanoma
C32;SKCM;skin;melanoma
C3A;LIHC;digestive_system;liver
C3A;LIHC;digestive_system;liver
CA46;UNCLASSIFIED;blood;Burkitt_lymphoma
CA46;UNCLASSIFIED;blood;Burkitt_lymphoma
CADO-ES1;UNCLASSIFIED;bone;ewings_sarcoma
CADO-ES1;UNCLASSIFIED;bone;ewings_sarcoma
CAKI-1;KIRC;kidney;kidney
CAL-120;BRCA;breast;breast
CAL-120;BRCA;breast;breast
CAL-12T;UNCLASSIFIED;lung;lung_NSCLC_not_specified
CAL-148;BRCA;breast;breast
CAL-148;BRCA;breast;breast
CAL-27;HNSC;aero_digestive_tract;head_and_neck
CAL-27;HNSC;aero_digestive_tract;head_and_neck
CAL-29;BLCA;urogenital_system;bladder
CAL-29;BLCA;urogenital_system;bladder
CAL-33;HNSC;aero_digestive_tract;head_and_neck
CAL-33;HNSC;aero_digestive_tract;head_and_neck
CAL-39;CESC;urogenital_system;cervix
CAL-39;CESC;urogenital_system;cervix
CAL-51;BRCA;breast;breast
CAL-51;BRCA;breast;breast
CAL-54;KIRC;kidney;kidney
CAL-54;KIRC;kidney;kidney
CAL-62;THCA;thyroid;thyroid
CAL-62;THCA;thyroid;thyroid
CAL-72;UNCLASSIFIED;bone;osteosarcoma
CAL-72;UNCLASSIFIED;bone;osteosarcoma
CAL-78;UNCLASSIFIED;bone;chondrosarcoma
CAL-78;UNCLASSIFIED;bone;chondrosarcoma
CAL-85-1;BRCA;breast;breast
CAL-85-1;BRCA;breast;breast
CAMA-1;BRCA;breast;breast
CAMA-1;BRCA;breast;breast
CAPAN-1;PAAD;pancreas;pancreas
CAPAN-1;PAAD;pancreas;pancreas
CAPAN-2;PAAD;pancreas;pancreas
CAPAN-2;PAAD;pancreas;pancreas
CAS-1;GBM;nervous_system;glioma
CAS-1;GBM;nervous_system;glioma
CCF-STTG1;GBM;nervous_system;glioma
CCK-81;COREAD;digestive_system;large_intestine
CCK-81;COREAD;digestive_system;large_intestine
CCRF-CEM;ALL;blood;lymphoblastic_leukemia
CCRF-CEM;ALL;blood;lymphoblastic_leukemia
CESS;LAML;blood;acute_myeloid_leukaemia
CESS;LAML;blood;acute_myeloid_leukaemia
CFPAC-1;PAAD;pancreas;pancreas
CFPAC-1;PAAD;pancreas;pancreas
